Judul,Label
etika bisnis jual beli online dalam perspektif islam,0
penerapan pidana mati terhadap terpidana kasus korupsi,0
faktorfaktoryang mempengaruhi kesejahteraan hidup masyarakat suku laut pulau bertam kota batam,0
efektivitas terapi musik untuk menurunkan tingkat stres dan kecemasan,0
edukasi masyarakat tentang pemanfaatan aplikasi kesehatan online melalui partisipasi pengembangan sistem informasi,1
pengembangan sistem prediksi perubahan iklim berbasis kecerdasan buatan untuk manajemen sumber daya alam yang berkelanjutan di papua,1
peran etika profesi hukum dalam meningkatkan profesionalisme hukum di indonesia,0
penerapan teknologi kecerdasan buatan atau ai guna mendukung operasional pelabuhan,1
pengaruh kompensasi beban kerja dan burnout serta dampaknya terhadap turnover intention guru honorer sekolah dasar di kabupaten jembrana,0
memanfaatkan digital marketing bagi usaha rumahan sayuran hidroponik dengan ecommerce sebagai media promosi,1
pengembangan game edukasi pengenalan nama hewan dan habitatnya dalam 3 bahasa sebagai media pembelajaran berbasis multimedia,1
pemanfaatan limbah sampah plastik menggunakan metode ecobrick di desa luwuk kanan,0
strategi implementasi pengembangan perkebunan kelapa sawit di era industri 40,1
learning management system lms pada kursus online berbasis deteksi kecurangan ujian menggunakan model mediapipe face,1
