Judul,Penulis,Abstrak
[PDF][PDF] Pemanfaatan machine learning dalam berbagai bidang,"A Roihan, PA Sunarya, AS Rafika - Jurnal Khatulistiwa Informatika, 2020 - academia.edu","… Machine learning is part of artificial intelligence that is widely used to … machine learning 
into three categories: supervised learning, unsupervised learning, and reinforcement learning. …"
[PDF][PDF] Perancangan Sistem Temu Balik Informasi Dengan Metode Pembobotan Kombinasi Tf-Idf Untuk Pencarian Dokumen Berbahasa Indonesia,"M Fitri - JUSTIN (Jurnal Sistem dan Teknologi Informasi), 2013 - jurnal.untan.ac.id",
Implementasi dan analisis algoritma stemming nazief & adriani dan porter pada dokumen berbahasa indonesia,"D Wahyudi, T Susyanto, D Nugroho - Jurnal Ilmiah SINUS, 2017 - p3m.sinus.ac.id","… Pada penelitian ini digunakan 26 dokumen uji yang diunduh dari situs berita online (detik.com) 
pada tanggal 27 September 2015 menggunakan crawler Simple HTML Dom. Data yang …"
Rancang bangun aplikasi information retrieval untuk mengkoleksi data paralel korpus teks bahasa inggris–bahasa indonesia,"E Septiandri - JUSTIN (Jurnal Sistem dan Teknologi Informasi), 2015 - jurnal.untan.ac.id",
[BUKU][B] Pengantar Logika Informatika. Algoritma dan Pemrograman Komputer,H Sismoro - 2005 - books.google.com,"Buku ini akan menjelaskan tiga hal utama pada konsep pemrograman komputer. Pertama, 
akan dijelaskan pengetahuan dasar logika pemrograman yang meliputi logika proposisional, …"
[PDF][PDF] Pengantar Teknologi Informasi,"J Simarmata, MA Manuhutu, H Herlinah, M Sinambela - 2021 - repo.handayani.ac.id","… akademisi yang lahir di Bah Jambi, 11 Januari 1973 memiliki latar belakang sarjana teknik 
informatika dari Sekolah Tinggi Poliprofesi Medan dan magister komputer dari Universitas …"
Pengantar sistem komputer,A Setiawan - 2004 - lib.unib.ac.id,"Buku pengantar sistem komputer ini membahas tentang mengenal sistem komputer yaitu 
perkembangan komputer klasifikasi dan kegunaan komputer konfigurasi komputer instalasi …"
Pengantar Informatika (Konsep Dasar Dan Aplikasi Modern),"MA Jabbar, NT Romadloni, P Jayadi, NH Adi… - 2024 - penarepository.com","… tentang konsep dasar informatika dan … informatika dalam dunia kontemporer. Semoga 
buku ini menjadi panduan yang bermanfaat bagi pembaca dalam menjelajahi dunia informatika …"
[PDF][PDF] LAPORAN RESUME PENGANTAR TEKNIK INFORMATIKA,S HIDAYAT - researchgate.net,"… Program Profesional (PP) merupakan salah satu matakuliah yang wajib diambil oleh 
mahasiswa Teknik Informatika Fakultas Teknik Universitas Palangka Raya sebagai persyaratan …"
[PDF][PDF] Kamus istilah komputer dan informatika,"A Maseleno - Edisi Ketiga, Penerbit Gaya Media, Jakarta, 2003 - academia.edu","… Kata Pengantar Perkembangan teknologi telekomunikasi dan informatika (telematika) saat 
ini … Informatika sebagai suatu ilmu dan komputer sebagai suatu alat telah memunculkan …"
